511202101158413, GLICO FISIOLÓGICA ISOTÔNICA ISTARBAG®, GLICO FISIOLOGICA ISOTONICA ISTARBAG, NOT FOUND, (50.0 + 9.0) MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML, H_I
511205802157418, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 100 MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML, H_I
511205803153416, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 100 MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML, H_I
511205801150411, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 100 MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML, H_I
511206201157411, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 100 MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML, H_I
511202504155412, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ CX 20 BOLS TRANS PVC SIST FECH X 500 ML, H_I
511202503159414, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ CX 40 BOLS TRANS PVC SIST FECH X 250 ML, H_I
511205602158410, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML, H_I
511202501156418, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 10 BOLS PVC TRANS SIST FECH X 1000 ML, H_I
511205603154419, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML, H_I
511202603153418, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML, H_I
511205601151412, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 60 BOLS PE TRANS SIST FECH X 100 ML, H_I
511205604150417, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML, H_I
511202502152416, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50MG/ML SOL INJ IV CX 60 BOLS PVC TRANS SIST FECH X 100 ML, H_I
511202505151410, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50MG/ML SOL INJ IV CX 72 BOLS PVC TRANS SIST FECH X 50 ML, H_I
511202606152412, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, AMP 10ML, H_I
511202607159410, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, AMP 20ML, H_I
511202301157410, GLICONATO DE CÁLCIO, GLICONATO CALCIO, GLICOEPTONATO CALCIO 99M TC, AMP 10ML, H_I
511205802157418, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 100 MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML, H_I
511205803153416, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 100 MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML, H_I
511205801150411, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 100 MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML, H_I
511206201157411, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 100 MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML, H_I
511202504155412, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ CX 20 BOLS TRANS PVC SIST FECH X 500 ML, H_I
511205602158410, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML, H_I
511202410150417, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 10 BOLS PP TRANS SIST FECH X 1000 ML, H_I
511202501156418, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 10 BOLS PVC TRANS SIST FECH X 1000 ML, H_I
511202411157415, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 20 BOLS PP TRANS SIST FECH X 500 ML, H_I
511205603154419, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML, H_I
511202412153413, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 40 BOLS PP TRANS SIST FECH X 250 ML, H_I
511202603153418, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML, H_I
511205601151412, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 60 BOLS PE TRANS SIST FECH X 100 ML, H_I
511205604150417, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML, H_I
511202502152416, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50MG/ML SOL INJ IV CX 60 BOLS PVC TRANS SIST FECH X 100 ML, H_I
511202505151410, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50MG/ML SOL INJ IV CX 72 BOLS PVC TRANS SIST FECH X 50 ML, H_I
511206702156418, GLICOSE 75%, GLICOSE 75, NOT FOUND, 750 MG/ ML SOL INJ IV CX 100 AMP VD INC X 10 ML, H_I
511206703152416, GLICOSE 75%, GLICOSE 75, NOT FOUND, 750 MG/ ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML, H_I
511206704159414, GLICOSE 75%, GLICOSE 75, NOT FOUND, 750 MG/ ML SOL INJ IV CX 200 AMP PLAS TRANS X 5 ML, H_I
511206701151412, GLICOSE 75%, GLICOSE 75, NOT FOUND, 750 MG/ML SOL INJ IV CX 100 AMP VD INC X 5 ML, H_I
511202606152412, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, AMP 10ML, H_I
511202405157417, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, AMP 10ML 25%, H_I
511202607159410, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, AMP 20ML, H_I
511202101158413, GLICO FISIOLÓGICA ISOTÔNICA ISTARBAG®, GLICO FISIOLOGICA ISOTONICA ISTARBAG, NOT FOUND, (50.0 + 9.0) MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML, H_I
511207001178413, GLICERINA 12%, GLICERINA 12, NOT FOUND, 120 MG/ML SOL CX 20 BOLS PE TRANS X 500 ML + 20 APLIC, H_I
511202301157410, GLICONATO DE CÁLCIO, GLICONATO CALCIO, GLICOEPTONATO CALCIO 99M TC, AMP 10ML, H_I
511205802157418, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 100 MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML, H_I
511205803153416, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 100 MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML, H_I
511205801150411, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 100 MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML, H_I
511206201157411, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 100 MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML, H_I
511202504155412, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ CX 20 BOLS TRANS PVC SIST FECH X 500 ML, H_I
511205602158410, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 10 BOLS PE TRANS SIST FECH X 1000 ML, H_I
511202410150417, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 10 BOLS PP TRANS SIST FECH X 1000 ML, H_I
511202501156418, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 10 BOLS PVC TRANS SIST FECH X 1000 ML, H_I
511202411157415, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 20 BOLS PP TRANS SIST FECH X 500 ML, H_I
511205603154419, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 40 BOLS PE TRANS SIST FECH X 250 ML, H_I
511202412153413, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 40 BOLS PP TRANS SIST FECH X 250 ML, H_I
511202603153418, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 40 BOLS PVC TRANS SIST FECH X 250 ML, H_I
511205601151412, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50 MG/ML SOL INJ IV CX 60 BOLS PE TRANS SIST FECH X 100 ML, H_I
511205604150417, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50MG/ML SOL INJ IV CX 20 BOLS PE TRANS SIST FECH X 500 ML, H_I
511202502152416, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50MG/ML SOL INJ IV CX 60 BOLS PVC TRANS SIST FECH X 100 ML, H_I
511202505151410, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, 50MG/ML SOL INJ IV CX 72 BOLS PVC TRANS SIST FECH X 50 ML, H_I
511206702156418, GLICOSE 75%, GLICOSE 75, NOT FOUND, 750 MG/ ML SOL INJ IV CX 100 AMP VD INC X 10 ML, H_I
511206703152416, GLICOSE 75%, GLICOSE 75, NOT FOUND, 750 MG/ ML SOL INJ IV CX 200 AMP PLAS TRANS X 10 ML, H_I
511206704159414, GLICOSE 75%, GLICOSE 75, NOT FOUND, 750 MG/ ML SOL INJ IV CX 200 AMP PLAS TRANS X 5 ML, H_I
511206701151412, GLICOSE 75%, GLICOSE 75, NOT FOUND, 750 MG/ML SOL INJ IV CX 100 AMP VD INC X 5 ML, H_I
511202606152412, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, AMP 10ML, H_I
511202405157417, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, AMP 10ML 25%, H_I
511202607159410, GLICOSE HALEX ISTAR, GLICOSE HALEX ISTAR, NOT FOUND, AMP 20ML, H_I
511202101158413, GLICO FISIOLÓGICA ISOTÔNICA ISTARBAG®, GLICO FISIOLOGICA ISOTONICA ISTARBAG, NOT FOUND, (50.0 + 9.0) MG/ML SOL INJ IV CX 20 BOLS PVC TRANS SIST FECH X 500 ML, H_I
