142197, DESUPRE , DESUPRE, NOT FOUND, CAPS 380 MG x 60, A0N

50851, DESONOL , DESONOL, NOT FOUND, LOC.CAPILAR 0.10 % 30 G x 1, MD7

92379, DESLORATADINA MG , DESLORATADINA, DESLORATADINA, XAR. 0.50 MG 100 ML x 1 (/ML), MD7

47547, DIPIMED , DIPIMED, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), MDQ

64175, DELTAMETRIL , DELTAMETRIL, NOT FOUND, XAMP 100 ML x 1, MDQ

62279, DIPIMED , DIPIMED, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), MDQ

64174, DELTAMETRIL , DELTAMETRIL, NOT FOUND, LOC. 100 ML x 1, MDQ

62280, DIPIMED , DIPIMED, NOT FOUND, CPR 500 MG x 100, MDQ

77204, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), MDQ

77203, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), MDQ

51812, DIPIMED , DIPIMED, NOT FOUND, CPR x 200, MDQ

95067, DIAMIN , DIAMIN, NOT FOUND, F AMP . 200 MG 100 ML x 1 (/ML), MIZ

72566, DUCRAY KELUAL DS , DUCRAY KELUAL DS, NOT FOUND, SHAM A/CAS 100 ML x 1, MIZ

131504, DUCRAY SENSINOL , DUCRAY SENSINOL, NOT FOUND, SH C C SE FR 200 ML x 1, MIZ

102090, DUCRAY SQUANORM , DUCRAY SQUANORM, NOT FOUND, SH A CASPA. 125 ML x 1, MIZ

64141, DUCRAY ANAPHASE , DUCRAY ANAPHASE, NOT FOUND, SH CREME 150 ML x 1, MIZ

59222, D.T.I. , D T I, NOT FOUND, F.AMP LIOF 200 MG x 1, MIZ

102088, DUCRAY NEOPTIDE , DUCRAY NEOPTIDE, NOT FOUND, LOC A QUEDA 30 ML x 3, MIZ

75758, DUCRAY NUTRICERAT , DUCRAY NUTRICERAT, NOT FOUND, K M 150ML+NE x 1, MIZ

95073, DIAMIN , DIAMIN, NOT FOUND, F AMP . 200 MG 50 ML x 1 (/ML), MIZ

64724, DUCRAY ANASTIM , DUCRAY ANASTIM, NOT FOUND, LOC. 100 ML x 1, MIZ

75190, DUCRAY NUTRICERAT , DUCRAY NUTRICERAT, NOT FOUND, MASCARA 150 ML x 1, MIZ

69538, DUCRAY KERTYOL S , DUCRAY KERTYOL S, NOT FOUND, XAMP 125 ML x 1, MIZ

102089, DUCRAY SQUANORM , DUCRAY SQUANORM, NOT FOUND, LOCAO 200 ML x 1, MIZ

74346, DUCRAY ANASTIM , DUCRAY ANASTIM, NOT FOUND, LOC CONC A/Q 7.50 ML x 8, MIZ

75188, DUCRAY NUTRICERAT , DUCRAY NUTRICERAT, NOT FOUND, FLUIDO REPA 75 ML x 1, MIZ

165694, DUCRAY ANACAPS , DUCRAY ANACAPS, NOT FOUND, CAPS x 90, MIZ

77562, DUCRAY KERTYOL PSO , DUCRAY KERTYOL PSO, NOT FOUND, SHAMPOO 125 ML x 1, MIZ

64151, DUCRAY KELUAL ZINC , DUCRAY KELUAL ZINC, NOT FOUND, LOC. 200 ML x 1, MIZ

78227, DUCRAY KELUAL DS , DUCRAY KELUAL DS, NOT FOUND, K S 100MI+ED 75 ML x 1, MIZ

150187, DUCRAY ANACAPS , DUCRAY ANACAPS, NOT FOUND, CAPS x 30, MIZ

102545, DUCRAY NUTRICERAT , DUCRAY NUTRICERAT, NOT FOUND, SHAMPOO 200 ML x 1, MIZ

102544, DUCRAY ANAPHASE , DUCRAY ANAPHASE, NOT FOUND, SH ESTIMU 200 ML x 1, MIZ

59208, DAUNOCIN , DAUNOCIN, NOT FOUND, F.AMP C/DILU 20 MG 4 ML x 1, MIZ

71961, DFLAM , DFLAM, NOT FOUND, AMP. 25 MG 3 ML x 10 (/ML), MIZ

64176, DUCRAY EXTRA DOUX , DUCRAY EXTRA DOUX, NOT FOUND, XAMP 300 ML x 1, MIZ

68087, DUCRAY KERTYOL , DUCRAY KERTYOL, NOT FOUND, XAMP 125 ML x 1, MIZ

78228, DUCRAY NUTRICERAT , DUCRAY NUTRICERAT, NOT FOUND, K M 150ML+SH 75 ML x 1, MIZ

78226, DUCRAY KELUAL DS , DUCRAY KELUAL DS, NOT FOUND, AERO MOUSSE 75 ML x 1, MIZ

59221, D.T.I. , D T I, NOT FOUND, F.AMP LIOF 100 MG x 1, MIZ

76312, DUCRAY KERTYOL S , DUCRAY KERTYOL S, NOT FOUND, KX125+KZ30ML x 1, MIZ

75189, DUCRAY NUTRICERAT , DUCRAY NUTRICERAT, NOT FOUND, SHAMPOO 125 ML x 1, MIZ

74728, DUCRAY KELUAL DS , DUCRAY KELUAL DS, NOT FOUND, CREME 40 ML x 1, MIZ

43877, DEXAGIL , DEXAGIL, NOT FOUND, AMP.A+B 3 ML x 3, MJA

49099, DEXAGIL , DEXAGIL, NOT FOUND, CPR x 20, MJA

54478, DENACEN , DENACEN, NOT FOUND, CPR 30 MG x 10, MJA

54477, DENACEN , DENACEN, NOT FOUND, CPR 6 MG x 20, MJA

48977, DIPROSONE , DIPROSONE, NOT FOUND, POM. 0.64 MG 30 G x 1 (/G), MQF

30287, DIPROSPAN , DIPROSPAN, NOT FOUND, AMP. 1 ML x 1, MQF

50163, DIPROSPAN , DIPROSPAN, NOT FOUND, HYPACK J.DES 1 ML x 1, MQF

32318, DIPROSONE , DIPROSONE, NOT FOUND, LOC.CAPILAR 0.64 MG 30 ML x 1 (/ML), MQF

77059, DIPROGENTA , DIPROGENTA, NOT FOUND, CREME 10 G x 1, MQF

77063, DIPROSONE , DIPROSONE, NOT FOUND, CREME 0.64 MG 10 G x 1 (/G), MQF

77062, DIPROSALIC , DIPROSALIC, NOT FOUND, SOLN 10 ML x 1, MQF

77061, DIPROSALIC , DIPROSALIC, NOT FOUND, POM. 10 G x 1, MQF

77065, DIPROSONE , DIPROSONE, NOT FOUND, POM. 0.64 MG 10 G x 1 (/G), MQF

48785, DIPROGENTA , DIPROGENTA, NOT FOUND, CREME 30 G x 1, MQF

31152, DIPROSALIC , DIPROSALIC, NOT FOUND, SOLN 30 ML x 1, MQF

31153, DIPROSALIC , DIPROSALIC, NOT FOUND, POM. 30 G x 1, MQF

77060, DIPROGENTA , DIPROGENTA, NOT FOUND, POM. 10 G x 1, MQF

68483, DERSAB , DERSAB, NOT FOUND, SABONETE 90 G x 1, MQF

48677, DIPROSONE , DIPROSONE, NOT FOUND, CREME 0.64 MG 30 G x 1 (/G), MQF

77064, DIPROSONE , DIPROSONE, NOT FOUND, LOC.CAPILAR 0.64 MG 10 ML x 1 (/ML), MQF

48786, DIPROGENTA , DIPROGENTA, NOT FOUND, POM. 30 G x 1, MQF

72181, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR REVEST 50 MG x 20, M_S

69418, DICLIN , DICLIN, NOT FOUND, CPR REV.21X3 x 63, M_S

61773, DICLIN , DICLIN, NOT FOUND, CPR REVEST x 21, M_S

140291, DEXA-CITONEURI NFF , DEXA CITONEURI NFF, NOT FOUND, AMP I+II x 3, M_S

92384, DABIONVITA , DABIONVITA, NOT FOUND, CAPS x 30, M_S

72186, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), M_S

64727, DIP.BET+AC.SALI MG , DIP BET AC SALI, NOT FOUND, POM. 30 G x 1, M_S

69181, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CAPS 100 MG x 10, M_S

3156, DEXA-CITONEURIN , DEXA CITONEURIN, NOT FOUND, AMP. x 3 +3, M_S

29125, DEXA-CITONEURIN , DEXA CITONEURIN, NOT FOUND, CPR x 20, M_S

70346, DIOZINAC GEL , DIOZINAC GEL, NOT FOUND, GEL. 150 ML x 1, N2E

70345, DIOZINAC EMUL , DIOZINAC EMUL, NOT FOUND, EMULSAO 40 ML x 1, N2E

70334, DIOZINAC KS , DIOZINAC KS, NOT FOUND, EMULSAO 40 ML x 1, N2E

52479, DIURIT , DIURIT, NOT FOUND, CPR 40 MG x 20, NCK

44667, DORFEBRIL , DORFEBRIL, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), NCK

3308, DIETAMINA , DIETAMINA, NOT FOUND, DRAG x 50, NCK

69386, DORFEBRIL , DORFEBRIL, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), NCK

65978, DIADEN , DIADEN, NOT FOUND, CPR 7.50 MG x 10, NCK

66606, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR REVEST 100 MG x 10, NQA

63123, DICLOFEN.POTASI MG , DICLOFEN POTASI, NOT FOUND, DRAG 50 MG x 20, NQA

87133, DOMPERIDONA MG , DOMPERIDONA, DOMPERIDONA, CPR 10 MG x 60, NQA

63122, DICLOFEN.POTASI MG , DICLOFEN POTASI, NOT FOUND, DRAG 50 MG x 10, NQA

159554, DESOSKIN , DESOSKIN, NOT FOUND, CREME DERM 30 G x 1, NQA

155047, DIGESIGMA , DIGESIGMA, NOT FOUND, CAPS 10 MG x 20, NQA

77706, DESLORATADINA MG , DESLORATADINA, DESLORATADINA, CPR REVEST 5 MG x 10, NQA

70158, DEFLAZACORTE MG , DEFLAZACORTE, DEFLAZACORTE, CPR 30 MG x 10, NQA

69943, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), NQA

159555, DROXY , DROXY, NOT FOUND, CPR 25 MG x 30, NQA

62525, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR REVEST 50 MG x 10, NQA

78144, DESLORATADINA MG , DESLORATADINA, DESLORATADINA, XAR. 0.50 MG 100 ML x 1 (/ML), NQA

163286, DIAZEPAM NQ , DIAZEPAM NQ, NOT FOUND, CPR 10 MG x 20, NQA

155045, DICL PRAMIPEXOL MG , DICL PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, CPR 0.125 MG x 30, NQA

78143, DESLORATADINA MG , DESLORATADINA, DESLORATADINA, XAR. 0.50 MG 60 ML x 1 (/ML), NQA

163287, DIAZEPAM NQ , DIAZEPAM NQ, NOT FOUND, CPR 5 MG x 20, NQA

158202, DICL PRAMIPEXOL MG , DICL PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, CPR 1 MG x 30, NQA

96371, DROSPI+ETINILES MG , DROSPI ETINILES, NOT FOUND, CPR 3 MG x 21 (/.03), NQA

155046, DICL PRAMIPEXOL MG , DICL PRAMIPEXOL, DICLORIDRATO PRAMIPEXOL, CPR 0.25 MG x 30, NQA

69941, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, CPR 500 MG x 240, NQA

70159, DEFLAZACORTE MG , DEFLAZACORTE, DEFLAZACORTE, CPR 6 MG x 20, NQA

70160, DICLOF.RESINATO MG , DICLOF RESINATO, NOT FOUND, GOTAS 15 MG 20 ML x 1 (/ML), NQA

135999, DICLOFEN.DIETIL.MG , DICLOFEN DIETIL, DICLOFENACO DIETILAMONIO, GEL CREME 10 MG 60 G x 1 (/G), NQA

69942, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), NQA

131340, DIP.BET+AC.SALI MG , DIP BET AC SALI, NOT FOUND, SOL TOP APLI 30 ML x 1, NQA

95760, DESLORATADINA MG , DESLORATADINA, DESLORATADINA, CPR REVEST 5 MG x 30, NQA

87131, DOMPERIDONA MG , DOMPERIDONA, DOMPERIDONA, CPR 10 MG x 30, NQA

62526, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR REVEST 50 MG x 20, NQA

77381, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), NV7

74908, DIPIRONATI , DIPIRONATI, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), NV7

77380, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), NV7

76473, DISFLAT , DISFLAT, NOT FOUND, GOTAS 75 MG 15 ML x 1 (/ML), NV7

75591, DIGEVITA , DIGEVITA, NOT FOUND, GOTAS PED 4 MG 20 ML x 1 (/ML), NV7

87517, DEPANTEX , DEPANTEX, NOT FOUND, POM. 50 MG 30 G x 1 (/G), NV7

76471, DIPIRONATI , DIPIRONATI, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), NV7

69945, DISFLAT , DISFLAT, NOT FOUND, GOTAS 75 MG 10 ML x 1 (/ML), NV7

75590, DIGEVITA , DIGEVITA, NOT FOUND, GOTAS AD 8 MG 20 ML x 1 (/ML), NV7

67706, DOBUTANIL , DOBUTANIL, NOT FOUND, F.AMP 250 MG 20 ML x 1, NVA

77585, DOBUTANIL , DOBUTANIL, NOT FOUND, F.AMP 250 MG 20 ML x 50, NVA

72614, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, AMP. 75 MG 3 ML x 50, NVA

72645, DOPIMEX , DOPIMEX, NOT FOUND, SOLN INJ. 5 MG 10 ML x 50 (/ML), NVA

66016, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 320 MG x 28, NVR

72488, DIOVAN AMLO FIX , DIOVAN AMLO FIX, NOT FOUND, CPR.RE.160MG 5 MG x 28, NVR

62364, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR REVEST 50 MG x 20, NVR

56821, DESFERAL , DESFERAL, NOT FOUND, F.AMP 500 MG 5 ML x 5, NVR

51810, DIOVAN , DIOVAN, NOT FOUND, CAPS 80 MG x 14, NVR

63800, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 40 MG x 28, NVR

72487, DIOVAN AMLO FIX , DIOVAN AMLO FIX, NOT FOUND, CPR.REV 80MG 5 MG x 28, NVR

63683, DIOVAN AMLO , DIOVAN AMLO, NOT FOUND, CPR REVEST 80 MG x 28 (/5), NVR

64251, DIOCOMB SI , DIOCOMB SI, NOT FOUND, CPR REVEST 160 MG x 56 (/20), NVR

60072, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 160 MG x 28, NVR

63799, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 40 MG x 14, NVR

77160, DIOVAN AMLO FIX , DIOVAN AMLO FIX, NOT FOUND, CPR.RE.160MG 5 MG x 14, NVR

77162, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 12.5 MG x 14 (/320), NVR

60069, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 80 MG x 14, NVR

77163, DIOVAN TRIPLO , DIOVAN TRIPLO, NOT FOUND, CPR REV 160 5 MG x 28 (/12), NVR

75855, DIOVAN TRIPLO , DIOVAN TRIPLO, NOT FOUND, CPR REV 160 25 MG x 56 (/5), NVR

75854, DIOVAN TRIPLO , DIOVAN TRIPLO, NOT FOUND, CPR REV 160 12.5 MG x 56 (/10), NVR

75856, DIOVAN TRIPLO , DIOVAN TRIPLO, NOT FOUND, CPR REV 160 10 MG x 56 (/25), NVR

65042, DICLOFEN.POTASI MG , DICLOFEN POTASI, NOT FOUND, DRAG 50 MG x 20, NVR

53230, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 80 MG x 14 (/12), NVR

62567, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 25 MG x 28 (/160), NVR

72489, DIOVAN AMLO FIX , DIOVAN AMLO FIX, NOT FOUND, CPR.RE.160MG 10 MG x 28, NVR

56569, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 12 MG x 28 (/160), NVR

77161, DIOVAN AMLO FIX , DIOVAN AMLO FIX, NOT FOUND, CPR.RE.320MG 5 MG x 14, NVR

72491, DIOVAN AMLO FIX , DIOVAN AMLO FIX, NOT FOUND, CPR.RE.320MG 10 MG x 28, NVR

64250, DIOCOMB SI , DIOCOMB SI, NOT FOUND, CPR REVEST 80 MG x 56 (/20), NVR

63684, DIOVAN AMLO , DIOVAN AMLO, NOT FOUND, CPR REVEST 160 MG x 28 (/5), NVR

56568, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 12 MG x 14 (/160), NVR

60070, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 80 MG x 28, NVR

74583, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 12.5 MG x 28 (/320), NVR

77164, DIOVAN TRIPLO , DIOVAN TRIPLO, NOT FOUND, CPR REV 160 10 MG x 28 (/12), NVR

60071, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 160 MG x 14, NVR

65041, DICLOF.COLESTIR.MG , DICLOF COLESTIR, NOT FOUND, CAPS 70 MG x 20, NVR

77159, DIOVAN , DIOVAN, NOT FOUND, CPR REVEST 320 MG x 14, NVR

65040, DICLOF.COLESTIR.MG , DICLOF COLESTIR, NOT FOUND, CAPS 70 MG x 14, NVR

64499, DIOCOMB SI , DIOCOMB SI, NOT FOUND, CPR REVEST 80 MG x 56 (/10), NVR

72490, DIOVAN AMLO FIX , DIOVAN AMLO FIX, NOT FOUND, CPR.RE.320MG 5 MG x 28, NVR

53231, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 80 MG x 28 (/12), NVR

62566, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 25 MG x 14 (/160), NVR

75853, DIOVAN TRIPLO , DIOVAN TRIPLO, NOT FOUND, CPR REV 160 5 MG x 56 (/12), NVR

3139, DESERILA , DESERILA, NOT FOUND, DRAG 1 MG x 25, NVR

74584, DIOVAN HCT , DIOVAN HCT, NOT FOUND, CPR REVEST 25 MG x 28 (/320), NVR

46386, DUCTELMIN , DUCTELMIN, NOT FOUND, CPR 100 MG x 6, N_Q

57250, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, AMP. 25 MG 3 ML x 5 (/ML), N_Q

55522, DORALGINA , DORALGINA, NOT FOUND, DRAG x 20, N_Q

66307, DROPROPIZINA MG , DROPROPIZINA, DROPROPIZINA, XAR. AD 3 MG 120 ML x 1 (/ML), N_Q

78857, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, CPR 1 G x 100, N_Q

55714, DIGESPRID , DIGESPRID, NOT FOUND, CAPS 10 MG x 20, N_Q

55732, DEXANIL , DEXANIL, NOT FOUND, CR.NEOMICINA 15 G x 1 (/G), N_Q

78855, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, CPR 1 G x 10, N_Q

74949, DIMETICONA MG , DIMETICONA, DIMETICONA, GOTAS 75 MG 15 ML x 1 (/ML), N_Q

77629, DIAZEPAM MG , DIAZEPAM, DIAZEPAM, CPR 5 MG x 20, N_Q

77200, DICLOFEN.POTASI MG , DICLOFEN POTASI, NOT FOUND, CPR 50 MG x 20, N_Q

61163, DUCTOVIRAX , DUCTOVIRAX, NOT FOUND, CPR 200 MG x 25, N_Q

77198, DICLOFEN.POTASI MG , DICLOFEN POTASI, NOT FOUND, CPR 50 MG x 10, N_Q

77157, DIGOXINA MG , DIGOXINA, DIGOXINA, CPR 0.25 MG x 25, N_Q

77630, DIAZEPAM MG , DIAZEPAM, DIAZEPAM, CPR 5 MG x 30, N_Q

50595, DICLONACO , DICLONACO, NOT FOUND, CPR REVEST 50 MG x 20, N_Q

59569, DEXANIL , DEXANIL, NOT FOUND, AMP. 2 MG 1 ML x 2 (/ML), N_Q

70053, DUCTOPRIL , DUCTOPRIL, NOT FOUND, CPR 25 MG x 32, N_Q

77239, DELLA , DELLA, NOT FOUND, SAB LIQD INT 200 ML x 1, N_Q

92722, DORONA CAFI , DORONA CAFI, NOT FOUND, CPR x 100, N_Q

56572, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 10 ML x 1 (/ML), N_Q

61180, DUCTOVIRAX , DUCTOVIRAX, NOT FOUND, CREME 50 MG 10 G x 1 (/G), N_Q

62474, DICLOFEN.DIETIL.MG , DICLOFEN DIETIL, DICLOFENACO DIETILAMONIO, GEL. 10 MG 60 G x 1 (/G), N_Q

59575, DORALGINA , DORALGINA, NOT FOUND, GOTAS 15 ML x 1, N_Q

75290, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, SOLN OFTAL 1 MG 5 ML x 1 (/ML), N_Q

49187, DORONA , DORONA, NOT FOUND, CPR 500 MG x 100, N_Q

66286, DIP.BET+FOS.BET MG , DIP BET FOS BET, NOT FOUND, AMP. S/SE 5 MG 1 ML x 1 (/ML), N_Q

78193, DIP SOD+CAF MG , DIP SOD CAF, NOT FOUND, CPR x 16, N_Q

64766, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, A.IM 75 MG 3 ML x 50, N_Q

54510, DAKTAZOL , DAKTAZOL, NOT FOUND, LOC.CREMOSA 0.02 % 30 ML x 1, N_Q

59601, DUCTOGEL , DUCTOGEL, NOT FOUND, CPR MASC 300 MG x 24, N_Q

85428, DICLOFENACO SOD.MG , DICLOFENACO SOD, DICLOFENACO SODICO, CPR REVEST 50 MG x 20, N_Q

92720, DORONA CAFI , DORONA CAFI, NOT FOUND, CPR x 16, N_Q

78192, DIP SOD+CAF MG , DIP SOD CAF, NOT FOUND, CPR x 100, N_Q

75781, DIENZEPAX , DIENZEPAX, NOT FOUND, CPR 10 MG x 20, N_Q

55715, DIGESPRID , DIGESPRID, NOT FOUND, GOTAS 4 MG 20 ML x 1 (/ML), N_Q

77201, DICLOFEN.POTASI MG , DICLOFEN POTASI, NOT FOUND, CPR 50 MG x 240, N_Q

59570, DEXANIL , DEXANIL, NOT FOUND, AMP. 2 MG 1 ML x 50 (/ML), N_Q

59574, DIURETIL , DIURETIL, NOT FOUND, CPR 50 MG x 20, N_Q

53476, DORALGINA , DORALGINA, NOT FOUND, DRAG x 100, N_Q

59602, DUCTOGEL , DUCTOGEL, NOT FOUND, SUSP 150 ML x 1, N_Q

58238, DUCTOPRIL , DUCTOPRIL, NOT FOUND, CPR 25 MG x 16, N_Q

77631, DIAZEPAM MG , DIAZEPAM, DIAZEPAM, CPR 10 MG x 20, N_Q

77632, DIAZEPAM MG , DIAZEPAM, DIAZEPAM, CPR 10 MG x 30, N_Q

56571, DIPIRONA SO.INJ MG , DIPIRONA SO INJ, NOT FOUND, AMP. 500 MG 2 ML x 50 (/ML), N_Q

59571, DEXANIL , DEXANIL, NOT FOUND, AMP. 4 MG 2.50 ML x 1 (/M), N_Q

62282, DEXAMETASONA MG , DEXAMETASONA, DEXAMETASONA, ELIXIR 0.10 MG 120 ML x 1 (/ML), N_Q

66308, DROPROPIZINA MG , DROPROPIZINA, DROPROPIZINA, XAR. PED. 1.50 MG 120 ML x 1 (/ML), N_Q

84342, DAKTAZOL , DAKTAZOL, NOT FOUND, CREME DERM 20 MG 28 GR x 1 (/G), N_Q

72552, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, GOTAS 500 MG 20 ML x 1 (/ML), N_Q

62475, DIPIRONA SODICA MG , DIPIRONA SODICA, NOT FOUND, CPR 500 MG x 100, N_Q

75780, DIENZEPAX , DIENZEPAX, NOT FOUND, CPR 5 MG x 20, N_Q

53477, DUCTOVERAN , DUCTOVERAN, NOT FOUND, GOTAS ORAL 25 ML x 1, N_Q

46387, DUCTELMIN , DUCTELMIN, NOT FOUND, SUSP 100 MG 30 ML x 1 (/5ML), N_Q

62684, DAKNAX , DAKNAX, NOT FOUND, LOC. 20 MG 30 ML x 1, P7B

62506, DECNAZOL , DECNAZOL, NOT FOUND, CPR 1000 MG x 2, P7B

73255, DIGOXINA MG , DIGOXINA, DIGOXINA, CPR 0.25 MG x 20, P7B

83746, DIGOXINA MG , DIGOXINA, DIGOXINA, CPR 0.25 MG x 500, P7B

75078, DIGOX , DIGOX, NOT FOUND, CPR 0.25 MG x 500, P7B

75709, DICLOFEN.DIETIL.MG , DICLOFEN DIETIL, DICLOFENACO DIETILAMONIO, GEL. 11.6 MG 60 G x 1 (/G), P7B

62125, DIGOX , DIGOX, NOT FOUND, CPR 0.25 MG x 20, P7B

89146, DOXICLIN , DOXICLIN, NOT FOUND, CPR REVEST 100 MG x 600, P7B

62686, DERMOVAT , DERMOVAT, NOT FOUND, POM. 1 MG 30 G x 1 (/G), P7B

62685, DERMOVAT , DERMOVAT, NOT FOUND, CREME 1 MG 30 G x 1 (/G), P7B

89148, DOXICLIN , DOXICLIN, NOT FOUND, CPR REVEST 100 MG x 15, P7B

64054, DETRUSITOL , DETRUSITOL, NOT FOUND, CAPS LA 4 MG x 14, PFZ

51170, DALACIN-T , DALACIN T, NOT FOUND, SOLN TOP. 10 MG 30 ML x 1 (/ML), PFZ

3196, DIABINESE , DIABINESE, NOT FOUND, CPR 250 MG x 100, PFZ

49641, DILTIZEM , DILTIZEM, NOT FOUND, CPR REVES.AP 240 MG x 10, PFZ

3622, DRENOL , DRENOL, NOT FOUND, CPR 50 MG x 30, PFZ

53980, DETRUSITOL , DETRUSITOL, NOT FOUND, CPR 1 MG x 28, PFZ

51029, DALACIN-C , DALACIN C, NOT FOUND, CAPS 300 MG x 16, PFZ

53981, DETRUSITOL , DETRUSITOL, NOT FOUND, CPR 2 MG x 28, PFZ

30561, DALACIN-C , DALACIN C, NOT FOUND, AMP. 300 MG 2 ML x 1, PFZ

76081, DETRUSITOL , DETRUSITOL, NOT FOUND, CAPS LA 4 MG x 30, PFZ

50701, DILTIZEM , DILTIZEM, NOT FOUND, CPR 60 MG x 60, PFZ

55613, DEPO-PROVERA , DEPO PROVERA, NOT FOUND, SER.PRE-ENCH 150 MG 1 ML x 1, PFZ

48268, DIABINESE , DIABINESE, NOT FOUND, CPR 250 MG x 30, PFZ

3089, DEPO-PROVERA , DEPO PROVERA, NOT FOUND, AMP. RETARD 50 MG 1 ML x 1 (/ML), PFZ

28462, DAUNOBLASTINA , DAUNOBLASTINA, NOT FOUND, F.AMP LIOF 20 MG x 1, PFZ

55378, DOSTINEX , DOSTINEX, NOT FOUND, CPR 0.50 MG x 8, PFZ

3088, DEPO-MEDROL , DEPO MEDROL, NOT FOUND, F.AMP RETARD 40 MG 2 ML x 1 (/ML), PFZ

47585, DILTIZEM , DILTIZEM, NOT FOUND, CPR REVES.AP 90 MG x 20, PFZ

47586, DILTIZEM , DILTIZEM, NOT FOUND, CPR REVES.AP 120 MG x 20, PFZ

57510, DOSTINEX , DOSTINEX, NOT FOUND, CPR 0.50 MG x 2, PFZ

53038, DEPO-PROVERA , DEPO PROVERA, NOT FOUND, F.AMP 150 MG 1 ML x 1 (/ML), PFZ

64055, DETRUSITOL , DETRUSITOL, NOT FOUND, CAPS LA 4 MG x 28, PFZ

53036, DALACIN-V , DALACIN V, NOT FOUND, CR.VAG.3 APL 2 % 20 G x 1, PFZ

53982, DETRUSITOL , DETRUSITOL, NOT FOUND, CPR 2 MG x 60, PFZ

55949, DUZIMICIN , DUZIMICIN, NOT FOUND, SUSP 250 MG 60 ML x 1 (/5ML), PZ8

72331, DIP.BET+SUL.GEN.MG , DIP BET SUL GEN, NOT FOUND, CREME 30 G x 1, PZ8

