103453; CORASTORVA ; CORASTORVA; NOT FOUND; CPR REV 10 MG x 30; ABT

59198; CLOR SOTALOL MG ; CLOR SOTALOL; CLORIDRATO SOTALOL; CPR 160 MG x 30; M_S

76970; CLINFAR ; CLINFAR; NOT FOUND; CPR REVEST 20 MG x 10; M_S

81745; CASTANHA DA INDIA ; CASTANHA INDIA; NOT FOUND; CPR REVEST 170 MG x 60; MB9

61632; CIMETILAB ; CIMETILAB; NOT FOUND; CPR 200 MG x 40; MB9

74320; CAPTOLAB ; CAPTOLAB; NOT FOUND; CPR 25 MG x 60; MB9

77764; CIMETIDINA MG ; CIMETIDINA; CIMETIDINA; CPR REVEST 400 MG x 20; MB9

112512; CEFAGEL ; CEFAGEL; NOT FOUND; SUSP ORAL 250 MG 100 ML x 1 (/5ML); MB9

61630; CETOCONALAB CREME ; CETOCONALAB CREME; NOT FOUND; CREME 20 MG 30 G x 1; MB9

78478; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; MB9

69223; CARDIX ; CARDIX; NOT FOUND; CPR 80 MG x 20; MB9

81747; CASTANHA DA INDIA ; CASTANHA INDIA; NOT FOUND; CPR REVEST 170 MG x 30; MB9

61627; CAPTOLAB ; CAPTOLAB; NOT FOUND; CPR 25 MG x 30; MB9

66598; CAPTOMAX ; CAPTOMAX; NOT FOUND; CPR 50 MG x 30; MB9

61758; CLOMAG ; CLOMAG; NOT FOUND; SACH.DISPLAY 33 G x 24; MB9

114475; COLPLEN ; COLPLEN; NOT FOUND; GEL VAG 10AP 100 MG 50 G x 1 (/G); MB9

69222; CARDIX ; CARDIX; NOT FOUND; CPR 40 MG x 40; MB9

77963; CLOTRIMAZOL CR MG ; CLOTRIMAZOL CR; NOT FOUND; CREME DERM 10 MG 20 G x 1 (/G); MB9

69597; CAPTOLAB ; CAPTOLAB; NOT FOUND; CPR 50 MG x 30; MB9

66300; CETOCONALAB ; CETOCONALAB; NOT FOUND; CPR 200 MG x 10; MB9

61634; CORTITOP ; CORTITOP; NOT FOUND; CREME 10 G x 1; MB9

96364; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 5 MG x 30; MB9

131301; CONTHENC ; CONTHENC; NOT FOUND; CPR 500 MG x 30; MB9

114495; COSELEN ; COSELEN; NOT FOUND; SOL TOP. 10 ML x 1; MB9

77962; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CR.VAG. 6APL 20 MG 35 G x 1 (/G); MB9

67094; CAPTOMAX ; CAPTOMAX; NOT FOUND; CPR 12.5 MG x 30; MB9

93132; CORTITOP ; CORTITOP; NOT FOUND; ELIXIR 0.10 MG 100 ML x 1 (/ML); MB9

61631; CETOCONALAB SHAMPO ; CETOCONALAB SHAMPO; NOT FOUND; XAMP 20 MG 100 ML x 1 (/ML); MB9

69221; CAPTOLAB ; CAPTOLAB; NOT FOUND; CPR 25 MG x 750; MB9

69450; CETOCONALAB ; CETOCONALAB; NOT FOUND; CPR 200 MG x 500; MB9

109694; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR 20 MG x 30; MB9

79150; CECOFENE ; CECOFENE; NOT FOUND; CPR 100 MG x 12; MB9

85665; CARDIX ; CARDIX; NOT FOUND; CPR 40 MG x 30; MB9

156857; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CREME 30 G x 1; MB9

66816; CEFAGEL ; CEFAGEL; NOT FOUND; CAPS 500 MG x 10; MB9

69733; CAPTOLAB ; CAPTOLAB; NOT FOUND; CPR 12.5 MG x 30; MB9

64091; COCICHIMIL ; COCICHIMIL; NOT FOUND; CPR 0.50 MG x 20; MB9

66596; CAPTOMAX ; CAPTOMAX; NOT FOUND; CPR 25 MG x 30; MB9

97178; CLOR.CICLOBENZA.MG ; CLOR CICLOBENZA; CLORIDRATO CICLOBENZAPRINA; CPR REVEST 10 MG x 30; MB9

61633; CIMETILAB ; CIMETILAB; NOT FOUND; CPR 400 MG x 20; MB9

77763; CIMETIDINA MG ; CIMETIDINA; CIMETIDINA; CPR REVEST 200 MG x 40; MB9

67449; CEFAGEL ; CEFAGEL; NOT FOUND; CAPS 500 MG x 500; MB9

86917; CICLATRY ; CICLATRY; NOT FOUND; CPR REV . 500 MG x 14; MB9

77781; COMPLEXO OMEGA A-Z ; COMPLEXO OMEGA A Z; NOT FOUND; CAPS x 60; MBR

77780; COMPLEXO OMEGA A-Z ; COMPLEXO OMEGA A Z; NOT FOUND; CAPS x 30; MBR

77782; COMPLEXO OMEGA A-Z ; COMPLEXO OMEGA A Z; NOT FOUND; CAPS x 100; MBR

70033; CALAMIX ; CALAMIX; NOT FOUND; LOC. 160 MG 80 ML x 1 (/G); MD6

75386; CALMAZIL ; CALMAZIL; NOT FOUND; CAPS 215 MG x 30; MD6

77009; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 6.25 MG x 15; MD7

28806; CINTILAN ; CINTILAN; NOT FOUND; SOLN INF 60 MG 120 ML x 1 (/ML); MD7

83358; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 4; MD7

64246; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; SUSP 250 MG 100 ML x 1 (/5ML); MD7

58072; CLO TETR+ANFO B MG ; CLO TETR ANFO B; NOT FOUND; CR.VAG.10APL 45 G x 1; MD7

56379; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 16; MD7

56696; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 250 MG x 10; MD7

72320; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 20; MD7

72325; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 200; MD7

62471; CAPTOP+HIDROCLO.MG ; CAPTOP HIDROCLO; NOT FOUND; CPR 50 MG x 16 (/25); MD7

72179; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 15 MG x 10; MD7

73415; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 14; MD7

61916; CETOPROFENO MG ; CETOPROFENO; CETOPROFENO; CPR REVEST 100 MG x 20; MD7

72987; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 0.50 MG x 20; MD7

72988; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 0.50 MG x 30; MD7

76018; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 80 MG x 30; MD7

68411; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CAPS 500 MG x 40; MD7

60441; CETOPROFENO MG ; CETOPROFENO; CETOPROFENO; GOTAS 20 MG 20 ML x 1 (/ML); MD7

72990; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 2 MG x 20; MD7

75882; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CAPS 50 MG x 30; MD7

71823; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 75 MG x 30; MD7

79621; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 37.5 MG x 30; MD7

82734; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 15; MD7

76017; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 10 MG x 30; MD7

61917; CETOPROFENO MG ; CETOPROFENO; CETOPROFENO; CAPS GEL 50 MG x 24; MD7

69737; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 15 MG x 30; MD7

83739; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 100 MG x 1; MD7

71821; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 150 MG x 30; MD7

59462; CLOR.CLOBUTINOL MG ; CLOR CLOBUTINOL; CLORIDRATO CLOBUTINOL; SOLN ORAL 60 MG 20 ML x 1 (/ML; MD7

62504; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; CREME 30 G x 1; MD7

72324; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 400 MG x 30; MD7

73607; CLO TICLOPIDINA MG ; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 30; MD7

72991; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 2 MG x 30; MD7

68033; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CAPS 500 MG x 8; MD7

74945; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR REVEST 20 MG x 20; MD7

65970; CEFACLOR MG ; CEFACLOR; CEFACLOR; SUSP 375 MG 80 ML x 1 (/5ML); MD7

77005; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 12.5 MG x 15; MD7

59875; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; POM. 30 G x 1; MD7

71820; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 150 MG x 15; MD7

2000; CALMOCITENO ; CALMOCITENO; NOT FOUND; CPR 10 MG x 20; MD7

63247; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 30; MD7

66957; CICLOPIROX OLAM.MG ; CICLOPIROX OLAM; CICLOPIROX OLAMINA; CREME 10 MG 20 G x 1 (/G); MD7

79620; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 37.5 MG x 15; MD7

56128; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 500 MG x 10; MD7

63245; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 60; MD7

74944; CLOR.PAROXETINA MG ; CLOR PAROXETINA; NOT FOUND; CPR REVEST 20 MG x 30; MD7

70587; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; SUSP ORAL 2 % 100 ML x 1; MD7

82728; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 30; MD7

58331; CLO.TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 28; MD7

73411; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 30; MD7

61918; CLOR.METOCLOP.MG ; CLOR METOCLOP; CLORIDRATO METOCLOPRAMIDA; SOLN ORAL 4 MG 10 ML x 1 (/ML); MD7

69520; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 14; MD7

66430; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; GOTAS 2.50 MG 20 ML x 1 (/ML); MD7

58155; CLOR TERB CREME MG ; CLOR TERB CREME; NOT FOUND; CREME 1 % 20 G x 1; MD7

71365; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 14; MD7

56129; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 500 MG x 14; MD7

1999; CALMOCITENO ; CALMOCITENO; NOT FOUND; CPR 5 MG x 20; MD7

56374; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 30; MD7

61094; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 90; MD7

68034; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; CAPS 500 MG x 10; MD7

83355; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 100 MG x 4; MD7

56697; CLARITROMICINA MG ; CLARITROMICINA; CLARITROMICINA; CPR REVEST 250 MG x 14; MD7

83354; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 1; MD7

68764; CALMOCITENO ; CALMOCITENO; NOT FOUND; CPR 10 MG x 200; MD7

59465; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CR.VAG. 6APL 10 MG 35 G x 1 (/G); MD7

75883; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CAPS 50 MG x 20; MD7

71822; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 75 MG x 15; MD7

28396; CINTILAN ; CINTILAN; NOT FOUND; CAPS 400 MG x 60; MD7

72322; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 60; MD7

49312; CLOFENAK ; CLOFENAK; NOT FOUND; CPR 50 MG x 10; MD7

58378; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 300 MG x 10; MD7

63894; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; PO P/SUSP 250 MG 100 ML x 1 (/5ML); MD7

58376; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 10; MD7

69736; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 10 MG x 30; MD7

72178; CLO SIBUTRAMINA MG ; CLO SIBUTRAMINA; NOT FOUND; CAPS 10 MG x 10; MD7

58379; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 300 MG x 20; MD7

63895; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; PO P/SUSP 500 MG 100 ML x 1 (/5ML); MD7

58358; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. 50 MG 100 ML x 1 (/ML); MD7

83738; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 100 MG x 2; MD7

72323; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 200 MG x 30; MD7

79622; CLO VENLAFAXINA MG ; CLO VENLAFAXINA; CLORIDRATO VENLAFAXINA; CAPS L.P. 37.5 MG x 7; MD7

82736; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 3.12 MG x 60; MD7

69523; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 500 MG x 7; MD7

73608; CLO TICLOPIDINA MG ; CLO TICLOPIDINA; CLORIDRATO TICLOPIDINA; CPR REVEST 250 MG x 20; MD7

56377; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 30; MD7

62997; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 10; MD7

71366; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; CAPS 20 MG x 28; MD7

77006; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 12.5 MG x 30; MD7

76019; CLO PROPRANOLOL MG ; CLO PROPRANOLOL; CLORIDRATO PROPRANOLOL; CPR 40 MG x 30; MD7

59463; CLOR.CLOBUTINOL MG ; CLOR CLOBUTINOL; CLORIDRATO CLOBUTINOL; XAR. 80 MG 120 ML x 1 (/5ML); MD7

75880; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CAPS 75 MG x 30; MD7

66973; CLOR.AMITRIPTIL.MG ; CLOR AMITRIPTIL; CLORIDRATO AMITRIPTILINA; CPR REVEST 25 MG x 20; MD7

62473; CAPTOP+HIDROCLO.MG ; CAPTOP HIDROCLO; NOT FOUND; CPR 50 MG x 60 (/25); MD7

58833; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. AD 30 MG 120 ML x 1 (/5ML); MD7

75881; CLOR.NORTRIPTIL.MG ; CLOR NORTRIPTIL; CLORIDRATO NORTRIPTILINA; CAPS 75 MG x 20; MD7

66302; CLOR TRAMADOL MG ; CLOR TRAMADOL; CLORIDRATO TRAMADOL; CAPS GEL 50 MG x 10; MD7

59177; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CREME 20 MG 30 G x 1 (/G); MD7

58328; CLO.TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 125 MG x 14; MD7

69521; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 7; MD7

83737; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 2; MD7

77003; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 25 MG x 30; MD7

66974; CLOR.AMITRIPTIL.MG ; CLOR AMITRIPTIL; CLORIDRATO AMITRIPTILINA; CPR REVEST 75 MG x 20; MD7

61541; CLOTRI+AC.DEXAM.MG ; CLOTRI AC DEXAM; NOT FOUND; CREME 40 G x 1; MD7

56380; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 30; MD7

2446; CLOMID ; CLOMID; NOT FOUND; CPR 50 MG x 10; MD7

61915; CETOCONAZOL SHA.MG ; CETOCONAZOL SHA; NOT FOUND; XAMP 20 MG 110 ML x 1 (/ML); MD7

66960; CICLOPIROX OLAM.MG ; CICLOPIROX OLAM; CICLOPIROX OLAMINA; SOLN TOP. 10 MG 15 ML x 1 (/ML; MD7

73416; CLOPIDOGREL MG ; CLOPIDOGREL; CLOPIDOGREL; CPR REVEST 75 MG x 28; MD7

59877; CETOPROFENO GEL MG ; CETOPROFENO GEL; NOT FOUND; GEL. 25 MG 30 G x 1 (/G); MD7

83359; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 25 MG x 4; MD7

72321; CARBAMAZEPINA MG ; CARBAMAZEPINA; CARBAMAZEPINA; CPR 400 MG x 20; MD7

56373; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 16; MD7

63243; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 500 MG x 30; MD7

62998; CETOCONAZOL MG ; CETOCONAZOL; CETOCONAZOL; CPR 200 MG x 30; MD7

58377; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 20; MD7

75555; CIPROFIBRATO MG ; CIPROFIBRATO; CIPROFIBRATO; CPR 100 MG x 30; MD7

59060; CLOR.SERTRALINA MG ; CLOR SERTRALINA; CLORIDRATO SERTRALINA; CPR REVEST 50 MG x 30; MD7

62505; CET+D.BET+S.NEO MG ; CET D BET S NEO; NOT FOUND; POM. 30 G x 1; MD7

83357; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 50 MG x 8; MD7

77007; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 25 MG x 60; MD7

58832; CLOR. AMBROXOL MG ; CLOR AMBROXOL; CLORIDRATO AMBROXOL; XAR. PED. 15 MG 120 ML x 1 (/5ML; MD7

58357; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. 20 MG 100 ML x 1 (/ML); MD7

69522; CLOR.CIPROFLOXA.MG ; CLOR CIPROFLOXA; CLORIDRATO CIPROFLOXACINO; CPR REVEST 250 MG x 14; MD7

58374; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XAR. 0.80 MG 120 ML x 1 (/ML); MD7

58375; CLOR. BROMEXINA MG ; CLOR BROMEXINA; CLORIDRATO BROMEXINA; XAR. 1.60 MG 120 ML x 1 (/ML); MD7

72989; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 0.50 MG x 60; MD7

56375; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 60; MD7

63249; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 1 G x 30; MD7

59467; CLOTRIMAZOL MG ; CLOTRIMAZOL; CLOTRIMAZOL; CR.VAG.3 APL 20 MG 20 G x 1 (/G); MD7

63236; CLOR.METFORMINA MG ; CLOR METFORMINA; CLORIDRATO METFORMINA; CPR REVEST 850 MG x 60; MD7

56376; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 16; MD7

77004; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 6.25 MG x 30; MD7

58356; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; SOLN ORAL 50 MG 20 ML x 1 (/ML); MD7

61093; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 12.5 MG x 90; MD7

73598; CLOSTEBOL+NEOMI MG ; CLOSTEBOL NEOMI; NOT FOUND; CR.VAG.8 APL 45 G x 1; MD7

83352; CIT SILDENAFILA MG ; CIT SILDENAFILA; CITRATO SILDENAFILA; CPR REVEST 25 MG x 2; MD7

56381; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 50 MG x 60; MD7

75708; CLOSTEBOL+NEOMI MG ; CLOSTEBOL NEOMI; NOT FOUND; CREME DERMAT 30 G x 1; MD7

77845; CONFIARE PREVENT ; CONFIARE PREVENT; NOT FOUND; CREME. 60 G x 1; MD7

64244; CEFACLOR MG ; CEFACLOR; CEFACLOR; CAPS 500 MG x 10; MD7

63893; CEFADROXILA MG ; CEFADROXILA; CEFADROXILA; CAPS 500 MG x 8; MD7

64245; CEFACLOR MG ; CEFACLOR; CEFACLOR; SUSP 250 MG 80 ML x 1 (/5ML); MD7

73412; CITALOPRAM MG ; CITALOPRAM; CITALOPRAM; CPR REVEST 20 MG x 15; MD7

103017; CLOR.TANSULOSI MG ; CLOR TANSULOSI; CLORIDRATO TANSULOSINA; CAPS 0.40 MG x 30; MD7

61919; CLOR.NAFAZOLINA MG ; CLOR NAFAZOLINA; CLORIDRATO NAFAZOLINA; SOLN NASAL 0.50 MG 30 ML x 1 (; MD7

77008; CARVEDILOL MG ; CARVEDILOL; CARVEDILOL; CPR 25 MG x 15; MD7

56378; CAPTOPRIL MG ; CAPTOPRIL; CAPTOPRIL; CPR 25 MG x 60; MD7

58330; CLO.TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 14; MD7

64247; CEFALEXINA MG ; CEFALEXINA; CEFALEXINA; SUSP 500 MG 100 ML x 1 (/5ML); MD7

62472; CAPTOP+HIDROCLO.MG ; CAPTOP HIDROCLO; NOT FOUND; CPR 50 MG x 30 (/25); MD7

59456; CETO+DIP BETAME MG ; CETO DIP BETAME; NOT FOUND; CREME 30 G x 1; MD7

58329; CLO.TERBINAFINA MG ; CLO TERBINAFINA; CLORIDRATO TERBINAFINA; CPR 250 MG x 7; MD7

72992; CLONAZEPAM MG ; CLONAZEPAM; CLONAZEPAM; CPR 2 MG x 60; MD7

57862; CLOTRIMAZOL CR.MG ; CLOTRIMAZOL CR; NOT FOUND; CREME 10 MG 20 G x 1 (/G); MD7

64636; CLO CLOB+S DOXI MG ; CLO CLOB S DOXI; NOT FOUND; XAR. 120 ML x 1; MD7

68958; CLOR.FLUOXETINA MG ; CLOR FLUOXETINA; CLORIDRATO FLUOXETINA; GOTAS 20 MG 20 ML x 1 (/ML); MD7

76292; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. AD 250 MG 100 ML x 1 (/5ML); MDQ

142030; CLO HIDROXIZINA MG ; CLO HIDROXIZINA; NOT FOUND; LIQ 2 MG 100 ML x 1 (/ML); MDQ

45173; CLORAMED ; CLORAMED; NOT FOUND; XAR. 60 ML x 1; MDQ

77750; COMPLEXO B ; COMPLEXO B; NOT FOUND; DRAG x 50; MDQ

76117; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 60; MDQ

76291; CARBOCISTEINA MG ; CARBOCISTEINA; CARBOCISTEINA; XAR. INF 100 MG 100 ML x 1 (/5ML); MDQ

64202; CEFALINA ; CEFALINA; NOT FOUND; CPR REVEST x 20; MDQ

62278; CLORAMED ; CLORAMED; NOT FOUND; CAPS GELATIN 250 MG x 12; MDQ

73410; CEFALINA ; CEFALINA; NOT FOUND; CPR REVEST x 100; MDQ

74946; CLOR.TETRACICLI.MG ; CLOR TETRACICLI; CLORIDRATO TETRACICLINA; CAPS 500 MG x 8; MDQ

64164; CALCIMED ; CALCIMED; NOT FOUND; SUSP 150 ML x 1; MDQ

76116; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 20; MDQ

47520; COMPLEXO B ; COMPLEXO B; NOT FOUND; XAR. 100 ML x 1; MDQ

78031; COMPLEXO B ; COMPLEXO B; NOT FOUND; DRAG x 100; MDQ

76115; CLOR.RANITIDINA MG ; CLOR RANITIDINA; CLORIDRATO RANITIDINA; CPR REVEST 150 MG x 10; MDQ

48042; COMPLEXO B ; COMPLEXO B; NOT FOUND; DRAG x 20; MDQ

74947; CLOR.TETRACICLI.MG ; CLOR TETRACICLI; CLORIDRATO TETRACICLINA; CAPS 500 MG x 80; MDQ

71330; CELEMIN HEPA ; CELEMIN HEPA; NOT FOUND; SOLN INJ. 8 % 1000 ML x 1; MIZ

78688; CUPRIMINE ; CUPRIMINE; NOT FOUND; CAPS 250 MG x 100; MIZ

86841; CIMZIA ; CIMZIA; NOT FOUND; SER+2 LENCO 200 MG 1 ML x 2; MIZ

66686; CHORIOMON ; CHORIOMON; NOT FOUND; F.AMP LIOF 2000 IU x 1; MIZ

65284; CHORIOMON ; CHORIOMON; NOT FOUND; F.AMP LIOF 5000 IU x 1; MIZ

71329; CELEMIN HEPA ; CELEMIN HEPA; NOT FOUND; SOLN INJ. 8 % 500 ML x 1; MIZ

71332; CELEMIN NEPHRO ; CELEMIN NEPHRO; NOT FOUND; SOLN INJ. 7 % 500 ML x 1; MIZ

73808; CINALEO ; CINALEO; NOT FOUND; F.AMP LIOF 15 IU x 1; MIZ

29745; CUPRIMINE ; CUPRIMINE; NOT FOUND; CAPS 250 MG x 50; MIZ

147803; CHORIOMON-M ; CHORIOMON M; NOT FOUND; F.AMP C/DILU 5000 IU 1 ML x 1; MIZ

100575; CALDE MAG ; CALDE MAG; NOT FOUND; CPR REVEST x 60; MJA

115846; CALDE K2 ; CALDE K2; NOT FOUND; CPR REVEST x 30; MJA

32358; CHOPHYTOL ; CHOPHYTOL; NOT FOUND; SOLN ORAL 250 ML x 1; MLL

29269; CUTISANOL ; CUTISANOL; NOT FOUND; GEL. 100 G x 1; MLL

